,,,,,
ORF,SGD,PLATE,TAP LOCATION,DISH PLATE LOCATION ,CONTROLS ADDED 
YJL082W,IML2,2GS2,A1,1,
YGL026C,TRP5,2GS2,A10,10,
YLR258W,GSY2,2GS2,A11,11,
YDR221W,YDR221W,2GS2,A12,12,
YKL104C,GFA1,2GS2,A2,2,
YKL213C,DOA1,2GS2,A3,3,
YCR084C,TUP1,2GS2,A4,4,
YGR128C,UTP8,2GS2,A5,5,
YCL057W,PRD1,2GS2,A6,6,
YDR211W,GCD6,2GS2,A7,7,
YOR206W,NOC2,2GS2,A8,8,
YFR015C,GSY1,2GS2,A9,9,
YOR317W,FAA1,2GS2,B1,13,
YIL105C,LIT2,2GS2,B10,22,
YLR399C,BDF1,2GS2,B11,23,
YBL024W,NCL1,2GS2,B12,24,
YDR108W,GSG1,2GS2,B2,14,
YLR452C,SST2,2GS2,B3,15,
YIL009W,FAA3,2GS2,B4,16,
YMR246W,FAA4,2GS2,B5,17,
YBR169C,SSE2,2GS2,B6,18,
YDR234W,LYS4,2GS2,B7,19,
YOR354C,MSC6,2GS2,B8,20,
YMR108W,ILV2,2GS2,B9,21,
YHL029C,YHL029C,2GS2,C1,25,
YLR369W,SSQ1,2GS2,C10,34,
YDR496C,PUF6,2GS2,C11,35,
YPR190C,RPC82,2GS2,C12,36,
YJL101C,GSH1,2GS2,C2,26,
YNL045W,YNL045W,2GS2,C3,27,
YOR138C,YOR138C,2GS2,C4,28,
YKL029C,MAE1,2GS2,C5,29,
YJL010C,YJL010C,2GS2,C6,30,
YDR194C,WT6,2GS2,C7,31,WT6
YLR002C,NOC3,2GS2,C8,32,
YNL197C,WHI3,2GS2,C9,33,
YOR147W,MDM32,2GS2,D1,37,
YAL016W,TPD3,2GS2,D10,46,
YDR380W,ARO10,2GS2,D11,47,
YHR114W,BZZ1,2GS2,D12,48,
YGR083C,GCD2,2GS2,D2,38,
YBL075C,SSA3,2GS2,D3,39,
YPL093W,NOG1,2GS2,D4,40,
YGL107C,RMD9,2GS2,D5,41,
YER049W,YER049W,2GS2,D6,42,
YER103W,SSA4,2GS2,D7,43,
YGL099W,LSG1,2GS2,D8,44,
YDR390C,UBA2,2GS2,D9,45,
YOR181W,LAS17,2GS2,E1,49,
YNL061W,NOP2,2GS2,E10,58,
YMR092C,AIP1,2GS2,E11,59,
YPL184C,YPL184C,2GS2,E12,60,
YPL161C,BEM4,2GS2,E2,50,
YML046W,PRP39,2GS2,E3,51,
YER080W,YER080W,2GS2,E4,52,
YKR008W,RSC4,2GS2,E5,53,
YGL110C,CUE3,2GS2,E6,54,
YMR278W,YMR278W,2GS2,E7,55,
YAR007C,RFA1,2GS2,E8,56,
YNL104C,LEU4,2GS2,E9,57,
YER036C,YER036C,2GS2,F1,61,
YGR246C,BRF1,2GS2,F10,70,
YLR060W,FRS1,2GS2,F11,71,
YJL069C,UTP18,2GS2,F12,72,
YDR341C,YDR341C,2GS2,F2,62,
YML071C,COG8,2GS2,F3,63,
YFL002C,SPB4,2GS2,F4,64,
YML057W,CMP2,2GS2,F5,65,
YOR108W,LEU9,2GS2,F6,66,
YLR055C,SPT8,2GS2,F7,67,
YGL125W,MET13,2GS2,F8,68,
YPL243W,SRP68,2GS2,F9,69,
YLR089C,YLR089C,2GS2,G1,73,
YML070W,DAK1,2GS2,G10,82,
YOL115W,TRF4,2GS2,G11,83,
YLR077W,YLR077W,2GS2,G12,84,
YLR028C,ADE16,2GS2,G2,74,
YDR294C,DPL1,2GS2,G3,75,
YDL174C,DLD1,2GS2,G4,76,
YJL186W,MNN5,2GS2,G5,77,
YMR291W,YMR291W,2GS2,G6,78,
YHL039W,YHL039W,2GS2,G7,79,
YGR292W,MAL12,2GS2,G8,80,
YML013W,SEL1,2GS2,G9,81,
YPL208W,YPL208W,2GS2,H1,85,
YOR090C,PTC5,2GS2,H10,94,
YOR128C,ADE2,2GS2,H11,95,
YDR120C,TRM1,2GS2,H12,96,
YBR170C,NPL4,2GS2,H2,86,
YGL228W,SHE10,2GS2,H3,87,
YER086W,ILV1,2GS2,H4,88,
YHR037W,PUT2,2GS2,H5,89,
YHR196W,UTP9,2GS2,H6,90,
YLL012W,YLL012W,2GS2,H7,91,
YOL027C,MDM38,2GS2,H8,92,
YPR137W,RRP9,2GS2,H9,93,
