ORF,SGD,PLATE,TAP LOCATION,,,DISH PLATE LOCATION ,CONTROLS ADDED ,,,,,,,
YGR089W,NNF2,2GS4,G9,2GS7,F1,81,,,,,,,,
YDR069C,DOA4,2GS4,H1,,,85,,,,,,,,
YKR089C,YKR089C,2GS4,H10,,,94,,,,,,,,
YGL036W,YGL036W,2GS4,H11,,,95,,,,,,,,
YBR289W,SNF5,2GS4,H12,,,96,,,,,,,,
YBL104C,YBL104C,2GS4,H2,,,86,,,,,,,,
YDR081C,PDC2,2GS4,H3,2GS7,F2,87,,,,,,,,
YDL220C,CDC13,2GS4,H4,2GS7,F3,88,,,,,,,,
YER024W,YAT2,2GS4,H5,2GS7,F4,89,,,,,,,,
YML111W,BUL2,2GS4,H6,2GS7,F5,90,,,,,,,,
YKR021W,YKR021W,2GS4,H7,,,91,,,,,,,,
YOR113W,AZF1,2GS4,H8,,,92,,,,,,,,
YDR213W,UPC2,2GS4,H9,2GS7,F6,93,,,,,,,,
